run_id,model_name,slice_type,slice_value,n_items,LWA,VRS,TC,FMT,FLP
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,account_holder.locale_code,3,0.666667,0.333333,0.666667,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,account_owner.locale_code,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,account_profile.billing_notice_locale,3,0.0,0.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,accounts_receivable_customer_portal.locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,activation_packet.visible_checklist.locale,3,1.0,0.0,1.0,0.0,0.666667
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_311_chat_surface.visible_locale,3,0.333333,0.333333,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_admissions_portal.visible_locale,3,0.333333,0.333333,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_benefits_upload_session.locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_campus_housing_message.locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_contract.operational_notice_locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_dental_portal.patient_message_locale,3,0.333333,0.333333,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_energy_assistance_portal.locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_housing_application_portal.reply_locale,3,0.0,0.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_licensee_portal.reply_locale,3,1.0,0.333333,0.333333,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_member.notice_locale,3,0.333333,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_outbound_surface,117,0.811966,0.735043,0.91453,0.974359,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_parent_portal.message_locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_school_meal_portal.locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_telehealth_visit_surface.locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,active_vendor_portal_thread.locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,admin_console.admin_visible.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,admin_notification_drawer.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,admissions_status.public_message.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,affected_resident_notice.locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,aid_portal_update.student_visible.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,answer_channel_rule->launch_accessibility_locale,9,0.222222,0.111111,1.0,0.666667,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,api_deprecation.developer_visible.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,applicant_profile.financial_aid_locale,3,0.0,0.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,applicant_profile.locale_code,3,0.333333,0.333333,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,applicant_statutory_notice.locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,asn_form.visible_values.locale,3,0.666667,0.0,1.0,0.0,0.333333
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,assignee_profile.customer_message_locale,3,0.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,audit_confirmation.client_visible_message.locale,3,0.666667,0.0,0.666667,0.0,0.666667
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,authorized_distributor_locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,backup_admin_profile.communication_locale,3,0.0,0.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,bank_mobile_secure_message.locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,beneficiary_update.visible_error.locale,3,0.666667,0.0,0.666667,0.0,0.666667
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,benefit_eligibility.household_visible.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,benefits_correspondence_policy.household_notice_locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,benefits_live_chat.locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,bidder_statutory_notice.locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,billing_adjustment.billing_contact_visible.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,billing_adjustment.customer_explanation.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,billing_admin.statement_locale,3,0.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,billing_admin_profile.invoice_locale,3,0.333333,0.333333,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,billing_contact.locale_code,3,0.333333,0.333333,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,billing_contact.template_locale,3,1.0,0.0,0.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,billing_contact_locale,3,0.333333,0.333333,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,billing_payload.payer_visible.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,billing_portal.active_notice_locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,borrower_contact.reply_locale,3,0.666667,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,borrower_profile.locale_code,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,borrower_profile.preferred_notice_locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,branded_case_reply_composer.locale,3,0.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,breach_notice.recipient_visible.locale,3,1.0,0.333333,1.0,0.333333,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,broker_claim_portal_thread.locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,broker_contact.statement_locale,3,0.0,0.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,broker_packet.external_instruction.locale,3,1.0,0.333333,1.0,0.333333,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,broker_profile.notice_locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,brokerage_client_portal.notice_locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,buyer_case_profile.locale_code,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,buyer_contact.correspondence_locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,buyer_contact.quote_locale,3,0.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,buyer_notice_locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,cardholder.notice_locale,3,1.0,0.666667,0.666667,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,cardholder_dispute_notice.locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,carrier_contact.portal_locale,3,0.333333,0.333333,0.666667,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,carrier_notifications[driver_visible].locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,case_docket_outbound.locale,6,1.0,0.5,0.833333,0.5,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,case_form.customer_visible_section.locale,6,0.833333,0.0,1.0,0.0,0.666667
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,case_status.customer_visible.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,catering_contact.locale_code,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,chargeback_dispute_room.locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,chargeback_status.customer_status.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,claim_cards[0].visible_locale,3,1.0,0.0,1.0,0.0,0.666667
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,claim_decision_card.policyholder_message.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,claim_escalation_thread.locale,3,0.333333,0.333333,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,claimant_profile.response_locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,client_authorized_contact.confirmation_locale,3,1.0,0.666667,0.666667,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,closure_confirmation_sheet.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,community_public_notice.locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,complainant.regulatory_correspondence_locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,compliance_case.notice_locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,compliance_disclosure_matrix.disclosure_rows[external_recipient].locale,3,0.0,0.0,1.0,1.0,0.666667
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,consignee_contact.locale_code,3,0.333333,0.333333,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,consignee_locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,consignee_profile.response_locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,consumer_contact.preferred_notice_locale,3,0.333333,0.333333,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,contact_profile.response_locale,9,0.222222,0.111111,1.0,0.666667,0.777778
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,contract_notice_locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,contract_signer.renewal_locale,3,0.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,correspondence_policy->contact_notice_locale,9,0.555556,0.444444,1.0,0.666667,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,counterparty_profile.compliance_notice_locale,3,0.0,0.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,court_filing_portal.recipient_locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,credit_notice.applicant_visible.locale,3,1.0,0.0,1.0,0.0,0.666667
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,crm_contact.preferred_reply_locale,3,0.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,crm_contact.primary_locale,3,0.333333,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,crm_handoff.customer_reply.locale,6,0.166667,0.0,1.0,0.5,0.166667
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,crm_record.customer_visible.locale,3,0.666667,0.0,1.0,0.0,0.666667
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,current_live_chat_session.response_locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,current_procurement_chat.locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,current_secure_inbox.patient_visible_locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,customer_record.service_locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,customer_response_locale,81,0.530864,0.493827,0.925926,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,customer_success_profile.reply_locale,3,0.333333,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,customs_case_portal.locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,data_export.requester_visible.locale,3,1.0,0.0,1.0,0.0,0.333333
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,data_residency_contact.notice_locale,3,0.333333,0.333333,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,data_subject_profile.correspondence_locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,data_subject_transfer_notice.locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,debtor.communication_locale,3,0.0,0.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,decision_card_array.cards[public_decision].locale,3,1.0,0.0,0.666667,0.0,0.666667
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,delivery_payload.customer_notice.locale,3,0.666667,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,developer_account.service_locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,developer_portal.active_ticket_locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,disability_services_policy.candidate_notice_locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,dispute_status.cardholder_visible.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,document_request.visible_request.locale,3,0.666667,0.0,1.0,0.0,0.666667
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,domain_console.active_surface_locale,3,0.333333,0.333333,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,download_ready_card.locale,3,0.333333,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,dpa_party.notification_locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,employee_privacy_disclosure.locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,employee_profile.communication_locale,3,0.0,0.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,employee_record.notice_locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,employee_self_service_portal.locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,employment_notice.employee_visible.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,environmental_notice.community_visible.locale,3,1.0,0.0,1.0,0.0,0.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,escalation_portal_reply.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,ethics_hotline_secure_thread.locale,3,1.0,0.666667,0.666667,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,expense_reimbursement_workspace.locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,explicit_final_response_instruction,36,0.944444,0.888889,0.944444,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,explicit_user_instruction,9,1.0,0.555556,0.888889,0.666667,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,explicit_user_instruction.final_response_language,27,0.925926,0.703704,0.888889,0.888889,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,explicit_workflow_control.customer_payload_language,9,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,explicit_workflow_control.final_notice_language,9,0.888889,0.777778,0.888889,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,external_case_owner.reply_locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,external_reply.customer_visible.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,external_reply_composer.locale,3,1.0,0.0,1.0,0.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,family_contact.locale_code,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,farm_operator.locale_code,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,feature_owner.announcement_locale,3,0.666667,0.666667,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,field_service_channel.locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,field_split_notification.channels.public_card.locale,3,0.0,0.0,1.0,0.0,0.666667
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,finance_portal_chat.locale,3,1.0,1.0,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,financial_assistance_policy.patient_notice_locale,3,0.666667,0.333333,0.666667,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,financial_complaints_portal.reply_locale,3,0.333333,0.333333,1.0,1.0,1.0
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,selected_warrant_field,fraud_alert_console.customer_message_locale,3,0.666667,0.666667,1.0,1.0,1.0
