shortcut_slice,n_rows
L3::active_outbound_surface::backup_restore_portal_message,3
L4::schema_visible_locale_policy::partner_onboarding_payload,3
L4::schema_visible_locale_policy::security_alert_bundle,3
L4::schema_visible_locale_policy::account_migration_plan_object,3
L4::schema_visible_locale_policy::status_page_notification_payload,3
L4::schema_visible_locale_policy::admin_console_task_card,3
L4::schema_visible_locale_policy::trust_center_evidence_response_object,3
L4::schema_visible_locale_policy::data_export_job_payload,3
L4::schema_visible_locale_policy::sso_cutover_packet,3
L2::policy_selected_contact_locale::export_control_review_notice,3
L2::policy_selected_contact_locale::feature_deprecation_policy_notice,3
L3::active_outbound_surface::immigration_case_portal_update,3
L2::policy_selected_contact_locale::account_recovery_policy_notice,3
L4::schema_visible_locale_policy::vulnerability_disclosure_response,3
L4::schema_visible_locale_policy::api_deprecation_payload,3
L4::schema_visible_locale_policy::billing_adjustment_structured_object,3
L0::explicit_user_instruction::regulatory_filing_acknowledgement,3
L4::schema_visible_locale_policy::incident_response_payload,3
L4::schema_visible_locale_policy::secure_portal_task_object,3
L4::schema_visible_locale_policy::partner_portal_announcement_payload,3
L4::schema_visible_locale_policy::crm_playbook_recommendation_card,3
L4::schema_visible_locale_policy::secure_billing_portal_payload,3
L2::policy_selected_contact_locale::secure_message_attachment_policy,3
L0::explicit_user_instruction::payment_verification_notice,3
L3::active_outbound_surface::active_secure_inbox_reply,3
L0::explicit_user_instruction::chargeback_status_notice,3
L1::customer_response_locale::auto_claim_estimate_reply,3
L1::customer_response_locale::health_reimbursement_reply,3
L1::customer_response_locale::property_claim_expense_notice,3
L1::customer_response_locale::loan_payoff_verification,3
L1::customer_response_locale::payroll_bank_verification,3
L1::customer_response_locale::warranty_reimbursement_reply,3
L2::policy_selected_contact_locale::marketplace_delisting_policy_notice,3
L1::customer_response_locale::escrow_refund_notice,3
L1::customer_response_locale::broker_commission_statement,3
L2::policy_selected_contact_locale::kyc_remediation_notice,3
L2::policy_selected_contact_locale::insurance_renewal_notice,3
L2::policy_selected_contact_locale::sepa_mandate_verification,3
L2::policy_selected_contact_locale::tax_withholding_certificate,3
L2::policy_selected_contact_locale::chargeback_representation,3
L2::policy_selected_contact_locale::claim_denial_appeal_rights,3
L2::policy_selected_contact_locale::mortgage_document_remediation,3
L2::policy_selected_contact_locale::wire_beneficiary_validation,3
L2::policy_selected_contact_locale::invoice_financing_reserve,3
L2::policy_selected_contact_locale::policy_lapse_grace_period,3
L2::policy_selected_contact_locale::pension_beneficiary_verification,3
L2::policy_selected_contact_locale::payment_services_complaint,3
L4::schema_visible_locale_policy::crm_survey_response_object,3
L1::customer_response_locale::premium_billing_correction,3
L3::active_outbound_surface::legal_billing_client_portal_message,3
L3::active_outbound_surface::regulated_returns_portal_message,3
L3::active_outbound_surface::tax_authority_secure_message,3
L3::active_outbound_surface::public_records_request_portal_reply,3
L2::policy_selected_contact_locale::crm_quote_approval_policy,3
L2::policy_selected_contact_locale::portal_entitlement_change_policy,3
L2::policy_selected_contact_locale::crm_nps_recovery_policy,3
L2::policy_selected_contact_locale::secure_portal_billing_policy,3
L2::policy_selected_contact_locale::partner_onboarding_template_policy,3
L2::policy_selected_contact_locale::crm_service_renewal_policy,3
L2::policy_selected_contact_locale::knowledge_article_feedback_policy,3
L4::schema_visible_locale_policy::legal_hold_status_payload,3
L3::active_outbound_surface::crm_console_external_reply,3
L3::active_outbound_surface::portal_task_completion_message,3
L4::schema_visible_locale_policy::case_status_card_payload,3
L3::active_outbound_surface::status_page_subscriber_message,3
L3::active_outbound_surface::admin_console_role_change_notice,3
L3::active_outbound_surface::crm_mobile_push_followup,3
L3::active_outbound_surface::secure_document_download_notice,3
L3::active_outbound_surface::community_portal_reply,3
L3::active_outbound_surface::crm_email_to_case_response,3
L3::active_outbound_surface::portal_case_closure_message,3
L3::active_outbound_surface::crm_renewal_room_update,3
L3::active_outbound_surface::secure_portal_escalation_reply,3
L4::schema_visible_locale_policy::crm_record_update_payload,3
L4::schema_visible_locale_policy::secure_inbox_payload,3
L4::schema_visible_locale_policy::portal_notification_bundle,3
L4::schema_visible_locale_policy::support_macro_fill_object,3
L4::schema_visible_locale_policy::crm_note_external_reply_split,3
L4::schema_visible_locale_policy::template_pack_generation_object,3
L3::active_outbound_surface::live_chat_to_portal_followup,3
L2::policy_selected_contact_locale::template_variable_exception_policy,3
L3::active_outbound_surface::secure_claims_inbox,3
L3::active_outbound_surface::finance_portal_chat,3
L3::active_outbound_surface::bank_mobile_secure_message,3
L3::active_outbound_surface::broker_claim_portal_thread,3
L3::active_outbound_surface::reimbursement_case_workspace,3
L3::active_outbound_surface::fraud_alert_console,3
L3::active_outbound_surface::payroll_employee_self_service,3
L3::active_outbound_surface::lender_document_portal,3
L3::active_outbound_surface::chargeback_dispute_room,3
L3::active_outbound_surface::investment_kyc_portal,3
L3::active_outbound_surface::warranty_secure_inbox,3
L3::active_outbound_surface::benefits_enrollment_chat,3
L3::active_outbound_surface::accounts_receivable_portal,3
L4::schema_visible_locale_policy::structured_claim_decision_card,3
L2::policy_selected_contact_locale::audit_confirmation_request,3
L4::schema_visible_locale_policy::reimbursement_notice_array,3
L4::schema_visible_locale_policy::premium_billing_adjustment_object,3
L4::schema_visible_locale_policy::chargeback_status_card,3
L4::schema_visible_locale_policy::kyc_portal_bundle,3
L4::schema_visible_locale_policy::loan_document_request_form,3
L4::schema_visible_locale_policy::fraud_alert_payload,3
L4::schema_visible_locale_policy::settlement_offer_packet,3
L4::schema_visible_locale_policy::tax_certificate_verification_record,3
L4::schema_visible_locale_policy::beneficiary_update_form,3
L4::schema_visible_locale_policy::audit_confirmation_response_object,3
L0::explicit_user_instruction::clinic_appointment_reschedule_notice,3
L0::explicit_user_instruction::admissions_document_reminder,3
L0::explicit_user_instruction::public_permit_pickup_notice,3
L1::customer_response_locale::patient_lab_followup_message,3
L1::customer_response_locale::student_enrollment_hold_notice,3
L4::schema_visible_locale_policy::payment_verification_packet,3
"['audience_target_match', 'coincident_nonselected_locale_matches_target', 'conflicting_non_warrant_cues']",3
"['coincident_nonselected_locale_matches_target', 'conflicting_non_warrant_cues']",3
L3::active_outbound_surface::regulated_brokerage_portal_notice,3
L3::active_outbound_surface::court_filing_portal_update,3
L4::schema_visible_locale_policy::privacy_notice_structured_payload,3
L4::schema_visible_locale_policy::breach_notice_bundle,3
L4::schema_visible_locale_policy::sanctions_review_object,3
L4::schema_visible_locale_policy::consumer_credit_notice_card,3
L4::schema_visible_locale_policy::regulatory_case_status_object,3
L0::explicit_user_instruction::insurance_claim_update,3
L4::schema_visible_locale_policy::product_recall_notification_bundle,3
L4::schema_visible_locale_policy::tax_correction_structured_notice,3
L4::schema_visible_locale_policy::employment_notice_packet,3
L4::schema_visible_locale_policy::environmental_public_notice_payload,3
L4::schema_visible_locale_policy::financial_dispute_status_card,3
L2::policy_selected_contact_locale::case_management_handoff_policy,3
L0::explicit_user_instruction::crm_contact_merge_confirmation,3
L0::explicit_user_instruction::secure_portal_invitation_message,3
L0::explicit_user_instruction::template_activation_notice,3
L1::customer_response_locale::crm_account_timeline_update,3
L1::customer_response_locale::portal_profile_completion_nudge,3
L1::customer_response_locale::crm_task_reassignment_notice,3
L1::customer_response_locale::support_macro_preview_message,3
L1::customer_response_locale::secure_inbox_digest_notice,3
L1::customer_response_locale::crm_opportunity_stage_notice,3
L1::customer_response_locale::customer_success_checkin_template,3
L1::customer_response_locale::partner_portal_role_update,3
L1::customer_response_locale::crm_survey_followup_message,3
L2::policy_selected_contact_locale::crm_macro_locale_policy,3
L2::policy_selected_contact_locale::secure_portal_notice_policy,3
L2::policy_selected_contact_locale::crm_campaign_suppression_policy,3
L4::schema_visible_locale_policy::public_records_response_object,3
L4::schema_visible_locale_policy::admissions_status_card,3
L4::schema_visible_locale_policy::vaccination_notification_bundle,3
L4::schema_visible_locale_policy::financial_aid_portal_update,3
L4::schema_visible_locale_policy::public_benefit_eligibility_card,3
L4::schema_visible_locale_policy::municipal_permit_notification_object,3
L4::schema_visible_locale_policy::transit_concession_application_record,3
L4::schema_visible_locale_policy::housing_waitlist_status_object,3
L4::schema_visible_locale_policy::library_hold_pickup_payload,3
L4::schema_visible_locale_policy::school_immunization_compliance_packet,3
L4::schema_visible_locale_policy::accommodation_case_card,3
L4::schema_visible_locale_policy::utility_assistance_secure_payload,3
L0::explicit_user_instruction::saas_billing_export_notice,3
L0::explicit_user_instruction::security_maintenance_window_notice,3
L0::explicit_user_instruction::account_migration_ready_notice,3
L1::customer_response_locale::tenant_admin_license_notice,3
L1::customer_response_locale::library_account_block_notice,3
L1::customer_response_locale::incident_subscriber_status_update,3
L1::customer_response_locale::security_contact_key_rotation_notice,3
L1::customer_response_locale::billing_admin_payment_method_notice,3
L1::customer_response_locale::developer_account_scope_notice,3
L1::customer_response_locale::data_residency_region_notice,3
L1::customer_response_locale::partner_integration_certificate_notice,3
L1::customer_response_locale::backup_policy_storage_notice,3
L2::policy_selected_contact_locale::p1_incident_policy_update,3
L2::policy_selected_contact_locale::dpa_security_notice,3
L2::policy_selected_contact_locale::sso_migration_admin_notice,3
L2::policy_selected_contact_locale::verified_security_contact_alert,3
L2::policy_selected_contact_locale::billing_dispute_policy_notice,3
L2::policy_selected_contact_locale::uptime_report_subscriber_notice,3
L2::policy_selected_contact_locale::privacy_incident_notification,3
L2::policy_selected_contact_locale::certificate_rotation_policy_notice,3
L1::customer_response_locale::workspace_owner_api_quota_notice,3
L1::customer_response_locale::vaccination_clinic_confirmation,3
L1::customer_response_locale::housing_waitlist_update,3
L1::customer_response_locale::campus_health_clearance_reply,3
L1::customer_response_locale::childcare_subsidy_notice,3
L1::customer_response_locale::scholarship_award_revision_notice,3
L1::customer_response_locale::clinic_referral_authorization_notice,3
L2::policy_selected_contact_locale::hospital_billing_charity_care_notice,3
L2::policy_selected_contact_locale::school_transport_route_change,3
L2::policy_selected_contact_locale::municipal_tax_installment_notice,3
L2::policy_selected_contact_locale::clinic_waitlist_activation_notice,3
L2::policy_selected_contact_locale::university_residency_classification_notice,3
L2::policy_selected_contact_locale::benefits_interview_reschedule_notice,3
L2::policy_selected_contact_locale::public_health_exposure_notice,3
L2::policy_selected_contact_locale::exam_accommodation_decision_notice,3
L2::policy_selected_contact_locale::water_utility_service_notice,3
L4::schema_visible_locale_policy::patient_portal_result_payload,3
L3::active_outbound_surface::school_meal_benefit_portal_message,3
L3::active_outbound_surface::continuing_education_portal_reply,3
L3::active_outbound_surface::dental_claim_patient_portal_message,3
L3::active_outbound_surface::utility_assistance_portal_reply,3
L3::active_outbound_surface::campus_housing_secure_message,3
L3::active_outbound_surface::public_service_chatbot_handoff,3
L3::active_outbound_surface::clinic_live_chat_continuation,3
L2::policy_selected_contact_locale::student_visa_document_notice,3
L3::active_outbound_surface::telehealth_visit_precheck_message,3
L3::active_outbound_surface::public_benefits_secure_upload_reply,3
L3::active_outbound_surface::parent_portal_attendance_message,3
L3::active_outbound_surface::admissions_portal_status_update,3
L3::active_outbound_surface::patient_secure_inbox_followup,3
L2::policy_selected_contact_locale::adult_education_registration_notice,3
L2::policy_selected_contact_locale::public_records_request_notice,3
L2::policy_selected_contact_locale::clinic_prescription_prior_authorization_notice,3
L3::active_outbound_surface::housing_portal_document_reply,3
