workflow_family,n_rows
regulator_inbox_case_update,3
secure_legal_portal_message,3
cross_border_transfer_notice,3
platform_content_removal_notice,3
immigration_case_portal_update,3
support_macro_fill_object,3
portal_notification_bundle,3
secure_inbox_payload,3
crm_record_update_payload,3
secure_portal_escalation_reply,3
crm_renewal_room_update,3
portal_case_closure_message,3
crm_email_to_case_response,3
partner_onboarding_template_policy,3
secure_document_download_notice,3
crm_mobile_push_followup,3
admin_console_role_change_notice,3
status_page_subscriber_message,3
live_chat_to_portal_followup,3
portal_task_completion_message,3
crm_console_external_reply,3
knowledge_article_feedback_policy,3
crm_service_renewal_policy,3
community_portal_reply,3
property_claim_expense_notice,3
health_reimbursement_reply,3
auto_claim_estimate_reply,3
chargeback_status_notice,3
insurance_claim_update,3
payment_verification_notice,3
partner_onboarding_packet,3
recall_notice_matrix,3
support_macro_split,3
claim_status_card_array,3
ASN_update_form,3
secure_inbox_bundle,3
template_variable_exception_policy,3
case_management_handoff_policy,3
crm_campaign_suppression_policy,3
secure_portal_notice_policy,3
crm_macro_locale_policy,3
delivery_window_portal,3
audit_confirmation_request,3
payment_services_complaint,3
pension_beneficiary_verification,3
policy_lapse_grace_period,3
invoice_financing_reserve,3
wire_beneficiary_validation,3
mortgage_document_remediation,3
claim_denial_appeal_rights,3
loan_payoff_verification,3
tax_withholding_certificate,3
sepa_mandate_verification,3
insurance_renewal_notice,3
kyc_remediation_notice,3
broker_commission_statement,3
escrow_refund_notice,3
premium_billing_correction,3
warranty_reimbursement_reply,3
payroll_bank_verification,3
chargeback_representation,3
sanctions_review_object,3
breach_notice_bundle,3
privacy_notice_structured_payload,3
court_filing_portal_update,3
regulated_brokerage_portal_notice,3
crm_survey_response_object,3
port_operations,3
secure_message_attachment_policy,3
crm_survey_followup_message,3
supplier_scorecard_widget,3
legal_hold_status_payload,3
consignee_notice,3
customs_broker_update,3
vendor_master_data,3
warehouse_coordination,3
carrier_coordination,3
supplier_quality_reply,3
vendor_coordination,3
active_secure_inbox_reply,3
partner_portal_role_update,3
customer_success_checkin_template,3
crm_opportunity_stage_notice,3
secure_inbox_digest_notice,3
support_macro_preview_message,3
crm_task_reassignment_notice,3
portal_profile_completion_nudge,3
crm_account_timeline_update,3
consumer_credit_notice_card,3
secure_portal_invitation_message,3
crm_contact_merge_confirmation,3
public_records_response_object,3
financial_dispute_status_card,3
environmental_public_notice_payload,3
employment_notice_packet,3
tax_correction_structured_notice,3
product_recall_notification_bundle,3
regulatory_case_status_object,3
template_activation_notice,3
housing_portal_document_reply,3
telehealth_visit_precheck_message,3
public_benefits_secure_upload_reply,3
parent_portal_attendance_message,3
admissions_portal_status_update,3
patient_secure_inbox_followup,3
adult_education_registration_notice,3
public_records_request_notice,3
secure_claims_inbox,3
student_visa_document_notice,3
water_utility_service_notice,3
exam_accommodation_decision_notice,3
public_health_exposure_notice,3
benefits_interview_reschedule_notice,3
university_residency_classification_notice,3
clinic_waitlist_activation_notice,3
municipal_tax_installment_notice,3
clinic_prescription_prior_authorization_notice,3
utility_assistance_secure_payload,3
accommodation_case_card,3
school_immunization_compliance_packet,3
library_hold_pickup_payload,3
housing_waitlist_status_object,3
transit_concession_application_record,3
municipal_permit_notification_object,3
public_benefit_eligibility_card,3
clinic_live_chat_continuation,3
vaccination_notification_bundle,3
admissions_status_card,3
patient_portal_result_payload,3
school_meal_benefit_portal_message,3
continuing_education_portal_reply,3
dental_claim_patient_portal_message,3
utility_assistance_portal_reply,3
campus_housing_secure_message,3
public_service_chatbot_handoff,3
financial_aid_portal_update,3
kyc_portal_bundle,3
chargeback_status_card,3
premium_billing_adjustment_object,3
reimbursement_notice_array,3
payment_verification_packet,3
structured_claim_decision_card,3
accounts_receivable_portal,3
benefits_enrollment_chat,3
school_transport_route_change,3
investment_kyc_portal,3
chargeback_dispute_room,3
lender_document_portal,3
payroll_employee_self_service,3
fraud_alert_console,3
reimbursement_case_workspace,3
broker_claim_portal_thread,3
bank_mobile_secure_message,3
finance_portal_chat,3
warranty_secure_inbox,3
hospital_billing_charity_care_notice,3
clinic_referral_authorization_notice,3
scholarship_award_revision_notice,3
childcare_subsidy_notice,3
campus_health_clearance_reply,3
housing_waitlist_update,3
vaccination_clinic_confirmation,3
library_account_block_notice,3
loan_document_request_form,3
patient_lab_followup_message,3
public_permit_pickup_notice,3
admissions_document_reminder,3
clinic_appointment_reschedule_notice,3
audit_confirmation_response_object,3
beneficiary_update_form,3
tax_certificate_verification_record,3
settlement_offer_packet,3
fraud_alert_payload,3
student_enrollment_hold_notice,3
